"node_id","label","node_type","layer","source_table","source_id","description","instrument","article","sector","implementation_domain","actor_type","government_level","normative_hierarchy","anchoring_level","gap_type","confidence_level","review_status","notes"
"MEX_ACTOR_SS_001","Secretaría de Salud","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_SS_001","health policy steering; sanitary authority; coordination of National Health System; epidemiological surveillance coordin…","","","health","","federal executive ministry","federal","","","","","","Primary national health authority; directs epidemiological surveillance (art. 184 LGS); issues emergency health measures…"
"MEX_ACTOR_CSG_001","Consejo de Salubridad General","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_CSG_001","sanitary authority; issues mandatory general health dispositions (disposiciones generales obligatorias en todo el país);…","","","health","","constitutional body","federal","","","","","","Constitutional sanitary authority with nationwide mandatory dispositions; key for epidemic and emergency declarations re…"
"MEX_ACTOR_DGE_001","Dirección General de Epidemiología","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_DGE_001","epidemiological surveillance; SINAVE coordination and direction (art. 35 frac. X); disease monitoring and notification; …","","","health","","administrative unit","federal","","","","","","National IHR Authority surveillance capacity; SINAVE is the primary national surveillance mechanism for IHR-related dise…"
"MEX_ACTOR_COFEPRIS_001","Comisión Federal para la Protección contra Riesgos Sanitarios (COFEPRIS)","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_COFEPRIS_001","health regulation; sanitary control and surveillance of products, establishments and activities; sanidad internacional (…","","","health","","deconcentrated body","federal","","","","","","Sanidad internacional competence for non-persons at points of entry (LGS art. 17 Bis frac. IX); sanitary control relevan…"
"MEX_ACTOR_CENAPRECE_001","Centro Nacional de Programas Preventivos y Control de Enfermedades (CENAPRECE)","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_CENAPRECE_001","disease prevention and control programs (cardiometabólicas, neurodegenerativas, vectoriales, zoonosis, micobacteriosis, …","","","health","","deconcentrated body","federal","","","","","","response capacities; prevention; core capacity building for disease prevention; coordination of preventive programs rele…"
"MEX_ACTOR_SRE_001","Secretaría de Relaciones Exteriores","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_SRE_001","international coordination; leads Mexican foreign policy (CPEUM art. 89 frac. X); coordinates and participates in all tr…","","","foreign affairs","","federal executive ministry","federal","","","","","","international coordination; treaty ratification channel for IHR (international instrument with treaty force); diplomatic…"
"MEX_ACTOR_SEGOB_001","Secretaría de Gobernación","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_SEGOB_001","interior policy; federal executive coordination; migration and human mobility policy; border and points of entry control…","","","interior/governance","","federal executive ministry","federal","","","","","","coordination (coordinates federal executive for government orders — LOAPF art. 27 frac. II); migration and border contro…"
"MEX_ACTOR_INM_001","Instituto Nacional de Migración","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_INM_001","migration control; border management at points of entry; documentation and control of migrants and international travell…","","","migration/borders","","deconcentrated body","federal","","","","","","points of entry; travellers; health measures (operational coordination with SS sanidad internacional at ports, airports …"
"MEX_ACTOR_PORTS_AIRPORTS_001","Autoridades portuarias y aeroportuarias (puntos de entrada)","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_PORTS_AIRPORTS_001","points of entry management; operational compliance with sanidad internacional health measures (under SS authority); coor…","","","ports/airports/transport","","administrative authority","federal","","","","","","points of entry (IHR Annex 1); health measures; travellers; core capacity for IHR Articles 19-22 and Annex 1B (points of…"
"MEX_ACTOR_STATES_001","Entidades federativas (gobiernos estatales — 32 entidades)","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_STATES_001","subnational health service delivery; state health systems organization and operation; federal-state implementation of na…","","","subnational implementation","","subnational government","state","","","","","","surveillance (state-level SINAVE nodes feeding national surveillance); response capacities (subnational first response);…"
"MEX_ACTOR_CONGRESS_001","Congreso de la Unión","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_CONGRESS_001","legislative approval and reform of federal health laws and general laws; approves health-related expenditure (budget); c…","","","legislature","","federal legislature","federal","","","","","","reporting/review; financing (budget); oversight; reviews and can reform laws implementing IHR obligations; CSG measures …"
"MEX_ACTOR_CHAMBER_DEPUTIES_001","Cámara de Diputados","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_CHAMBER_DEPUTIES_001","legislative approval/oversight; exclusive budget approval (Presupuesto de Egresos de la Federación — CPEUM art. 74 frac.…","","","legislature","","chamber of congress","federal","","","","","","financing (budget approval conditions IHR implementation resources); oversight through ASF; approves National Developmen…"
"MEX_ACTOR_SENATE_001","Senado de la República","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_SENATE_001","treaty ratification (exclusive Senate power — CPEUM art. 76 frac. I); legislative approval/oversight; international poli…","","","legislature","","chamber of congress","federal","","","","","","treaty ratification (IHR 2005 and its amendments, including 2024 amendments, require Senate ratification for domestic le…"
"MEX_ACTOR_ASF_001","Auditoría Superior de la Federación","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_ASF_001","budgetary oversight; technical and management audit of federal public resources; reviews Cuenta Pública; issues individu…","","","public finance/audit","","oversight body","federal","","","","","","financing; oversight (audits health sector expenditure including IHR-related programs, core capacity investments, and em…"
"MEX_ACTOR_CNDH_001","Comisión Nacional de los Derechos Humanos (CNDH)","actor","institutional_actor_layer","mexico_health_governance_actors","MEX_ACTOR_CNDH_001","human rights protection; issues non-binding public recommendations; files complaints and denuncias before competent auth…","","","human rights","","autonomous constitutional body","autonomous","","","","","","oversight; human rights protection in health emergency context; recommendations on violations of right to health during …"
